label,text
T,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
T,RT Hanzehogeschool: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t....
T,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
T,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
A,Wil jij je ook een keer van je sportieve kant laten zien? Doe dan mee met de Batavierenrace met Sant! http://t.co/7GuzX5zSfs
T,Ingeschreven voor de @Batavierenrace namens @svidLucid! =)
P,"Lekker stukje hard gelopen in het noorderplantsoen, batavierenrace komt stiekem toch wel weer dichterbij."
A,@Mennooooooo Doe jij heel toevallig mee met de @Batavierenrace?
A,@Mennooooooo 27 april: http://t.co/AMDMjzGG2q
A,Osse studente werkt mee aan wereldberoemde Batavierenrace: De befaamde Batavierenrace voor studenten... http://t.co/phO7ayEqo0 #Enschede
A,Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. Sponsoren jullie hen ook? #allekinderenmogenmeedoen
C,RT @MarieJoseJacobs: Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. Sponsoren jullie hen ook? #all ...
C,rt @MarieJoseJacobs Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. ... http://t.co/gOlLeT9xEg
D,@Arjen_Cuijpers Goed bezig! Ga dadelijk ook even hardlopen. BTW doe dit jaar ook mee aan de @Batavierenrace
D,Stoer dat @carlocuijpers mee gaat doen aan de @batavierenrace Ambitieuze run! LEUK
A,Meer mensen interesse om mee te doen met de @Batavierenrace ? #dtv
R,"Hard, eerste keer van me leven buiten hardlopen, 13km/u gemiddeld, 6,9km. Kom maar op! #batavierenrace http://t.co/84t0UvdInY"
A,Dat was een geweldige borreltocht. Op naar de  volgende prozac activiteit : de batavierenrace
A,@bums Ha weet je nog: batavierenrace? Jij in rode trainingsbroek? Of was het vatenbierrace? Het gaat je weer lukken!
A,Wij zoeken lopers voor batavierenrace
A,Dit jaar doet de FMF mee aan de Batavierenrace!\nCheck de evenementpagina voor meer informatie en ga mee.... http://t.co/LPCgpak2ur
A,Er zijn nog enkele plekken vrij voor de Batavierenrace. Wil je nog mee? Mail dan naar sport@mfvr.nl
A,"@LeonHolSchipper, waar hebben jullie zoal hulp bij nodig @Batavierenrace ?"
A,RT@ De @Batavierenrace #stadvannu is op zoek naar jou! Vele functies staan klaar om ingevuld te worden:https:/... http://t.co/w4nXYhv0Rj
A,RT @enschede: De @Batavierenrace #stadvannu is op zoek naar jou! Vele functies staan klaar om ingevuld te worden:https://t.co/goLCzEeuFA
A,Dus. Als echte VSPA'er meedoen aan de Batavierenrace. Ik ben een undercover bal.
P,"Lekker sporten, over een tijdje fit voor de batavierenrace! #kfitness"
A,@Tbuitink is de hele binnenstad afgesloten op 27 april? #batavierenrace #koningsdag WA wil graag met koets door de stad.. @B_Visschedijk
A,"Op 27 april vindt de Batavierenrace plaats, er zijn nog een aantal etappes wat gevuld moet worden. Zie jullie mail... http://t.co/NAMActl4VD"
A,Jullie team nog niet compleet? Ga dan op zoek naar lopers! https://t.co/IEuW2NxPoQ  #Batavierenrace @UTwente @RUNijmegen
A,RT @Batavierenrace: Jullie team nog niet compleet? Ga dan op zoek naar lopers! https://t.co/zBfUjc5ATg  #Batavierenrace
A,"RT @hightechhitters: Op 27 april vindt de Batavierenrace plaats, er zijn nog een aantal etappes wat gevuld moet worden. Zie jullie mail. ..."
A,"Heb jij zin in hardlopen?  Doe dan mee met de batavierenrace! Tri movere doet mee, mail naar info@trimovere.nl"
A,"RT @TriMovere: Heb jij zin in hardlopen?  Doe dan mee met de batavierenrace! Tri movere doet mee, mail naar info@trimovere.nl"
A,"RT @TriMovere: Heb jij zin in hardlopen?  Doe dan mee met de batavierenrace! Tri movere doet mee, mail naar info@trimovere.nl"
D,Wij wensen nu al het hele team veel succes met de voorbereidingen richting Batavierenrace 2013! http://t.co/ZPHoEwfwUu
P,Dit jaar ga ik weer meedoen aan de #Batavierenrace! Dit keer waarschijnlijk 6km  in de ochtendploeg! Lekker rennen en een goed feestje!
A,ik heb meegemaakt bij de Batavierenrace dat de race werd geneutraliseerd. Dat werkte dus wl. Door studenten. geen proforganisatie
T,Team S.N.O.T. heeft afgelopen zaterdag weer zijn titel verdedigd op de Geuzenloop. Wij zijn klaar voor de Batavierenrace!
A,Maak jij de Batavierenrace tot een groot succes?! : http://t.co/0lm4iuBLoJ #studentensport @batavierenrace
A,@PatrickLeijzer de @batavierenrace omdraaien.  Dat was ook toen ik kennis maakte met een bepaalde DSZ-medewerker die zei dat alles kon.
P,"@Rob_Vaessen @Batavierenrace of je nu rent van Nijmegen naar Enschede of vice versa dat maakt niet zo veel uit leek me toen, dezelfde route"
T,Vanavond is de laatste #Batavierenrace training bij #Aquila. Om 19:00 verzamelen bij het #OS en om 21:00 gezellig samen eten! Tot vanavond!
A,Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
R,"Terug van 6,5 km hardlopen in de zon, die batavierenrace komt sowieso wel goed! Cascaderun hopelijk ook :)"
C,RT @ASAVAquila: Vanavond is de laatste #Batavierenrace training bij #Aquila. Om 19:00 verzamelen bij het #OS en om 21:00 gezellig samen  ...
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,"Batavierenrace, loop en feest mee! geblgod op HAN Studentenweblog Sport en Bewegen http://t.co/0z9GBzdFIf #HANnl #HAN_SenB"
A,"""RT Hs. Arnhem Nijmegen:""Batavierenrace, loop en feest mee!"" geblgod op HAN Studentenweblog Sport en Bewegen http://t.co/6JC30E2fJ9 #..."""
T,Gisteravond de 3e en laatste gezamenlijke Batatraining gehad. Een goede en enthousiaste groep! Op naar de #Roetersrun en de #Batavierenrace
A,Loop jij mee in de Batavierenrace? Heb je je al aangemeld voor bata4life? Nu doen!  http://t.co/H8jXXciKdZ
C,RT @UniTeamAdam: Gisteravond de 3e en laatste gezamenlijke Batatraining gehad. Een goede en enthousiaste groep! Op naar de #Roetersrun e ...
A,Heb jij vroeger deelgenomen aan de Batavierenrace? Steun je oude team dan in hun actie voor bata4life! http://t.co/H8jXXciKdZ
C,RT @UniTeamAdam: Gisteravond de 3e en laatste gezamenlijke Batatraining gehad. Een goede en enthousiaste groep! Op naar de #Roetersrun e ...
A,RT @alumniUT: Loop jij mee in de Batavierenrace? Heb je je al aangemeld voor bata4life? Nu doen!  http://t.co/H8jXXciKdZ
A,RT @alumniUT: Heb jij vroeger deelgenomen aan de Batavierenrace? Steun je oude team dan in hun actie voor bata4life! http://t.co/H8jXXciKdZ
A,Heb jij vroeger deelgenomen aan de Batavierenrace? Steun je oude team dan in hun actie voor bata4life! PlsRT! http://t.co/H8jXXciKdZ
A,Loop jij mee in de Batavierenrace? Heb je je al aangemeld voor bata4life? Nu doen! PlsRT http://t.co/H8jXXciKdZ
A,@alumniUT: vroeger deelgenomen aan de Batavierenrace? Steun je oude team dan in hun actie voor bata4life! PlsRT! http://t.co/uhMZki8frO
C,RT @UniTeamAdam: Gisteravond de 3e en laatste gezamenlijke Batatraining gehad. Een goede en enthousiaste groep! Op naar de #Roetersrun e ...
P,"Jaac in training voor Batavierenrace, dus goede reden om samen de koud te  trotseren! #hardlopen #tegenwind #bikkelen"
A,RT @alumniUT: Loop jij mee in de Batavierenrace? Heb je je al aangemeld voor bata4life? Nu doen! PlsRT http://t.co/H8jXXciKdZ
A,Batavierenrace lanceert Bata4life.nl in de strijd tegen kanker! - Nieuwsbank (persbericht) (abonnement) http://t.co/je4EIAzxXZ
A,27 april is alweer de 41e Batavierenrace. Heeft jouw team al een busje geregeld? In heel het land worden in rap... http://t.co/GaTrRF9KJu
A,27 april is alweer de 41e #Batavierenrace. Heeft jouw team al een busje geregeld? In heel het land worden in rap... http://t.co/g1jE1u3g8K
A,batavierenrace test
A,batavierenrace test 2
P,Sinds de @7Hloop voor het eerst weer hardgelopen voor het volgende project: midden in de nacht 9 km door Duitsland lopen #batavierenrace
A,Batavierenrace lanceert Bata4life.nl in de strijd tegen #kanker! (via @G4Porg) - http://t.co/ME5dPV6lI8
A,Nieuw artikel: ESN goes Batavierenrace http://t.co/AEMCLHtClj
A,De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/ZgAKxvbOFw
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,Liggen we op schema? @rdekinkelder @vheijmer #batavierenrace #winningteam
A,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
A,Een leuk artikel ter promotie van de samenwerking tussen @batavierenrace en @kwf_nl Doneer nu! http://t.co/eP6pxgkqXh
A,Alle lopers vd Batavierenrace: registreer je op bata4life en ga op jacht naar sponsoren voor KWF Kankerbestrijding! http://t.co/1qXYCdHOjt
A,Alle lopers vd Batavierenrace: registreer je op bata4life en ga op jacht naar sponsoren voor KWF Kankerbestrijding! http://t.co/H8jXXciKdZ
A,Alle lopers vd Batavierenrace: registreer je op bata4life en ga op jacht naar sponsoren voor KWF Kankerbestrijding! http://t.co/tZuHqPJ11y
A,"@LigtenbergK Ergens in mei zou beter uitkomen, ik zit nu op een trainingsdieet voor de Batavierenrace! :)"
A,Sponsor mijn zoon en Aloha tijdens de @Batavierenrace via http://t.co/mSOS8tqmLF
A,Sponsor mijn zoon en Aloha tijdens de @Batavierenrace via http://t.co/mSOS8tqmLF
A,Sponsor mijn zoon en Aloha tijdens de @Batavierenrace via http://t.co/mSOS8tqmLF en steun het @KWF_nl in hun strijd tegen kanker.
A,Please RT: Sponsor mijn zoon en Aloha tijdens de @Batavierenrace via http://t.co/mSOS8tqmLF  en steun het @KWF_nl in hun strijd tegen kanker
A,@joachimw @Titchener @cbokhove Boekelo! Batavierenrace 1982-1986! Trekt dt evenement de huizenprijzen niet gigantisch omhoog?
A,Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co/X98Xg6v8EE
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,"Lopers van de #batavierenrace kunnen zich dit jaar laten sponsoren voor #KWF Kankerbestrijding. Goed initiatief, #bata4life."
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
P,T-shirt en korte broek aan en hardlopen maar! Moet nog wel wat gebeuren om m'n #Batavierenrace etappe goed te lopen!
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,@frunning ik in de Batavierenrace. Mijn kennismaking met de edele hardloopsport. Daarvoor zwom ik.
P,"Studieontwijkend gedrag van het maximale niveau: trainen voor de batavierenrace, terwijl ik een pesthekel aan hardlopen heb!"
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,RT @ConcepTTwente: Het batavierenrace-team van ConcepT zoekt nog 2 mannen en 2 vrouwen om het team compleet te maken. Loop jij al mee?
C,Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @SportraadSSA @ASAVAquila
C,RT @UniTeamAdam: Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @Sportraad ...
C,RT @UniTeamAdam: Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @Sportraad ...
C,RT @UniTeamAdam: Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @Sportraad ...
N,Etappes nachtploeg van 41e Batavierenrace fors veranderd. Nu 2 lange etappes van 10km. Captain Josje heeft nu wat  aanpassingsprobleempjes.
C,RT @UniTeamAdam: Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @Sportraad ...
C,RT @UniTeamAdam: Alle deelnemers aan de #Roetersrun heel veel succes gewenst! Op naar het #UniTeamAdam en de #Batavierenrace! @Sportraad ...
P,Tijdens de batavierenrace mag ik de herstart lopen van Ulft naar.... Kramp.. Hopelijk is de plaatsnaam geen voorbode voor de race zelf!
A,Vergeet je niet op te geven voor batavierenrace! Een etappe lopen en dan heerlijk genieten van een megafeest in Enschede
T,JAWS bereidt zich vanavond voor op de Batavierenrace. De Roetersrun op het program. Vijf kilometer hollen. Moet kunnen.
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,Voor de 41e batavierenrace (26-04 t/m 28-04) zijn wij nog steeds op zoek naar drie gezellige mensen die ons team... http://t.co/1KbQ25rQCz
T,Harambee wil graag 5000 euro ophalen voor @kwf_nl. Hoeveel wil  jouw team binnenhalen via http://t.co/GXu7Pbrds7? #batavierenrace
A,Het is al bijna zo ver: de Batavierenrace 2013. Ze zoeken nog steeds vrijwilligers. Dus heb je niets te doen... http://t.co/71UdaOAsrd
R,"7,7 km in 42:12, bijna klaar voor de #batavierenrace"
T,De selectie is geweest en de opstelling is gemaakt. We hebben een sterk team! Lopers worden vanavond op de hoogte gebracht. #Batavierenrace
C,RT @UniTeamAdam: De selectie is geweest en de opstelling is gemaakt. We hebben een sterk team! Lopers worden vanavond op de hoogte gebra ...
C,RT @UniTeamAdam: De selectie is geweest en de opstelling is gemaakt. We hebben een sterk team! Lopers worden vanavond op de hoogte gebra ...
C,RT @UniTeamAdam: De selectie is geweest en de opstelling is gemaakt. We hebben een sterk team! Lopers worden vanavond op de hoogte gebra ...
P,Delftse Hout is echt een heerlijk gebied om hard te lopen! #trainen #Batavierenrace
C,RT @UniTeamAdam: De selectie is geweest en de opstelling is gemaakt. We hebben een sterk team! Lopers worden vanavond op de hoogte gebra ...
A,"Hey mensen,\n\nZijn er nog sportievelingen onder jullie?\nDe Batavierenrace is een jaarlijks terugkerende... http://t.co/WwK6CxGQU3"
P,"@FloLuitse thanks babe! It went great! I am ready for the Batavierenrace, bring it on!"
T,Filmpje: Campusloop als training voor Bata-race: Het UT/Saxion-team bereidt zich voor op de Batavierenrace. He... http://t.co/eKbHqxyMlc
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
P,"Hardlopen zit er weer op, laat die Batavierenrace maar komen! #zinin"
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
A,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
P,Laat die Batavierenrace maar komen!! #nieuweschoenen http://t.co/tZ3MZBbVYu
A,"Chaaaaaau, por fin la vuelta #Bata13 _"
A,"RT @LiooCasali: Chaaaaaau, por fin la vuelta #Bata13 _"
A,Volgende jaar doet #ZHTC mee met #ekiden sportief evenement met lekker weer. nu eerst #batavierenrace #Windesheim
A,RT @Batavierenrace: Een leuk artikel ter promotie van de samenwerking tussen @batavierenrace en @kwf_nl Doneer nu! http://t.co/eP6pxgkqXh
A,Steun @AEGEE_Utrecht met hun fundraising voor #KWF-Kankerbestrijding tijdens de #Batavierenrace. Ga naar http://t.co/RQmnTAfGhu en doneer!
A,In dit kakelverse nummer van UT-Nieuws ook vijf pagina's over de @Batavierenrace!
A,RT @MaaikePlatvoet: In dit kakelverse nummer van UT-Nieuws ook vijf pagina's over de @Batavierenrace!
R,"Bam. 10,6 km met een gemiddelde snelheid van 11,9 km/h. Laat die #Batavierenrace maar komen! #hardlooptweet"
A,Op 27 april loop ik de Batavierenrace. Je kunt mij en mijn team (Donders Devils) sponsoren! http://t.co/a4L5n0gde8
A,Wedstrijdschema-explosie vandaag: #bata2013 en 2x competitie senioren aan het programma toegevoegd. #zinin
A,Namens F.C. Sopha:\n26-27-28 april vindt de Batavierenrace weer plaats. Voor het geval jullie niet weten wat dit... http://t.co/SfjmcZCuTW
A,@DiederikJekel Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je bata4life.nl willen promoten? Onderzoek naar kanker!
A,@AlexanderNL Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? Onderzoek naar kanker
A,@kimkotter Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? Onderzoek naar kanker!
A,@HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? #Twente
A,@PieterOmtzigt Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? #Twente
A,@RHDijkgraaf Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? Onderzoek naar Kanker
A,@RonNuwenhof Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? #Twente
A,@dijkshoorn Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten? Onderzoek naar kanker
A,@LeonVerdonschot Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promoten?
A,@tubantia Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zouden jullie http://t.co/YmJdenv8IV willen promoten o.a. via Twitter?
A,@Gem_Enschede Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zouden jullie http://t.co/YmJdenv8IV willen promoten via  twitter?
A,Wegens een afmelding is er nog een plek vrij gekomen voor de Batavierenrace 2013.\nDus wil jij nog meelopen met het... http://t.co/C9UTVJ5qQ1
A,Wij zoeken nog een loper voor in de middagploeg bij de #batavierenrace Wie komt ons versterken? #bata2013  @batavierenrace please RT
A,RT @the25Gangsters: Wij zoeken nog een loper voor in de middagploeg bij de #batavierenrace Wie komt ons versterken? #bata2013  @batavier ...
A,RT @the25Gangsters: Wij zoeken nog een loper voor in de middagploeg bij de #batavierenrace Wie komt ons versterken? #bata2013  @batavier ...
A,RT @ScienceCafe053: @HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promot ...
A,RT @ScienceCafe053: @HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promot ...
A,RT @the25Gangsters: Wij zoeken nog een loper voor in de middagploeg bij de #batavierenrace Wie komt ons versterken? #bata2013  @batavier ...
A,RT @ScienceCafe053: @HanTenBroeke Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/YmJdenv8IV willen promot ...
A,@martijnjonk - Studenten lopen Batavierenrace voor KWF Kankerbestrijding. Zou je http://t.co/kxO3LtmXcR willen promoten? #retweet
R,"8km gerend als training voor #BIOS team in #Batavierenrace. De afstand is er, nu de snelheid nog... -))"
A,Steun! Studenten lopen Batavierenrace voor KWF Kankerbestrijding: http://t.co/bSSM9AzL1f via @ScienceCafe053 #KWF
A,Steun! Studenten lopen Batavierenrace voor KWF Kankerbestrijding: http://t.co/bSSM9AzL1f via @ScienceCafe053 #KWF
C,RT @GalinaEW: Op 27 april loop ik de Batavierenrace. Je kunt mij en mijn team (Donders Devils) sponsoren! http://t.co/a4L5n0gde8
C,RT @GalinaEW: Op 27 april loop ik de Batavierenrace. Je kunt mij en mijn team (Donders Devils) sponsoren! http://t.co/a4L5n0gde8
A,14/04 Radio Oost 18.02 uur: Batavierenrace voor KWF  problemen pinautomaten voor gehandicapten  handreiking inzetbaarheid oudere werknemers
A,RT @RonNuwenhof: Steun! Studenten lopen Batavierenrace voor KWF Kankerbestrijding: http://t.co/bSSM9AzL1f via @ScienceCafe053 #KWF
P,@EigenWijzeBant gaat er voor zorgen dat we de beschikking hebben over een busje tijdens de #batavierenrace 2013! Top!!
A,RT @BatavierenNOP: @EigenWijzeBant gaat er voor zorgen dat we de beschikking hebben over een busje tijdens de #batavierenrace 2013! Top!!
A,Klaar voor de start? 27 april is de jaarlijkse Batavierenrace en er zijn nog etappes vrij om gelopen te worden... http://t.co/GzJXPr4xvk
A,Vanavond kroegentocht @beugeltjezwolle @DeAbdij @DeGezelligheid en andere met @zhc en @RadioZSP ivm batavierenrace
P,"27 april de batavierenrace met Alpha, vanavond voor de derde keer deze week trainen!"
A,RT @emileuitapeldoo: Vanavond kroegentocht @beugeltjezwolle @DeAbdij @DeGezelligheid en andere met @zhc en @RadioZSP ivm batavierenrace
A,Kom maar op met die Batavierenrace #nachtvoorbereiding #27april
